Datefirstseen,SrcIPAddr,DstIPAddr,Datefirstseenunix,Duration,Proto,SrcPt,DstPt,Packets,Bytes
2016-09-12 10:36:21.177,192.168.56.12,52.18.63.80,1473669381,9,TCP,49170,139,3,92
2016-09-12 10:36:45.032,192.168.56.12,52.18.63.80,1473669405,9,TCP,49172,445,3,92
2016-09-12 10:36:50.189,192.168.56.12,52.18.63.80,1473669410,9,TCP,49173,139,3,92
2016-09-12 10:37:14.332,192.168.56.12,52.18.63.80,1473669434,60,TCP,49176,80,7,464
2016-09-12 10:36:30.050,192.168.56.12,217.69.139.160,1473669390,9,TCP,49171,6,3,92
2016-09-12 10:36:42.309,192.168.56.12,224.0.0.252,1473669402,0,UDP,57112,5355,2,44
2016-09-12 10:37:11.237,192.168.56.12,224.0.0.252,1473669431,0,UDP,54358,5355,2,44
2016-09-12 10:35:57.473,192.168.56.12,192.168.56.255,1473669357,75,UDP,137,137,12,600
2016-09-12 10:37:09.296,192.168.56.12,192.168.56.255,1473669429,118,UDP,138,138,2,402
2016-09-12 10:36:11.105,13.80.12.54,192.168.56.12,1473669371,1,UDP,123,123,2,96
2016-09-12 10:35:59.225,52.18.63.80,192.168.56.12,1473669359,120,TCP,80,49163,8,1584
2016-09-12 10:37:14.352,52.18.63.80,192.168.56.12,1473669434,0,TCP,80,49176,5,1140
2016-09-12 10:42:07.496,192.168.56.12,8.8.8.8,1473669727,0,UDP,50019,53,1,29
2016-09-12 10:42:07.505,8.8.8.8,192.168.56.12,1473669727,0,UDP,53,50019,1,104
2016-09-12 10:43:06.374,192.168.56.12,192.168.56.255,1473669786,0,UDP,138,138,1,201
2016-09-12 10:50:32.014,192.168.56.12,8.8.8.8,1473670232,0,UDP,52717,53,1,43
2016-09-12 10:50:32.034,8.8.8.8,192.168.56.12,1473670232,0,UDP,53,52717,1,145
2016-09-12 10:51:05.817,192.168.56.12,192.168.56.255,1473670265,0,UDP,138,138,1,201
2016-09-12 10:55:20.224,192.168.56.12,239.255.255.250,1473670520,6,UDP,57479,1900,6,744
2016-09-12 11:03:03.450,192.168.56.12,192.168.56.255,1473670983,0,UDP,138,138,1,201
2016-09-12 11:06:03.259,192.168.56.12,8.8.8.8,1473671163,0,UDP,61697,53,1,43
2016-09-12 11:06:03.286,8.8.8.8,192.168.56.12,1473671163,0,UDP,53,61697,1,145
2016-09-12 11:15:22.056,192.168.56.12,239.255.255.250,1473671722,6,UDP,57479,1900,6,744
2016-09-12 11:15:02.779,192.168.56.12,192.168.56.255,1473671702,0,UDP,138,138,1,201
2016-09-12 11:21:28.961,192.168.56.12,8.8.8.8,1473672088,0,UDP,63229,53,1,43
2016-09-12 11:21:28.981,8.8.8.8,192.168.56.12,1473672088,0,UDP,53,63229,1,145
2016-09-12 11:27:00.916,192.168.56.12,192.168.56.255,1473672420,0,UDP,138,138,1,201
2016-09-12 18:28:32.691,192.168.56.12,8.8.4.4,1473697712,0,UDP,57259,53,1,77
2016-09-12 18:28:32.692,192.168.56.12,8.8.4.4,1473697712,0,UDP,57236,53,1,77
